metric_category,metric,value
overall,total_patterns_analyzed,500
overall,unique_patterns,497
overall,high_risk_findings,213
overall,medium_risk_findings,106
overall,low_risk_findings,181
overall,critical_risk_findings,0
overall,unsafe_findings,319
overall,safe_findings,181
overall,high_risk_percentage,42.6
overall,medium_risk_percentage,21.2
overall,low_risk_percentage,36.2
overall,unsafe_percentage,63.8
overall,safe_percentage,36.2
language,C_patterns,232
language,C_percentage,46.4
language,Java_patterns,209
language,Java_percentage,41.8
language,C++_patterns,59
language,C++_percentage,11.8
risk,HIGH_count,213
risk,HIGH_percentage,42.6
risk,LOW_count,181
risk,LOW_percentage,36.2
risk,MEDIUM_count,106
risk,MEDIUM_percentage,21.2
label,UNSAFE_count,319
label,UNSAFE_percentage,63.8
label,SAFE_count,181
label,SAFE_percentage,36.2
recommendation,recommendations_available,500
recommendation,recommendations_missing,0
recommendation,recommendation_coverage_percentage,100.0
source,source_column_available,True
source,source_url_column_available,True
source,patterns_with_source,500
source,patterns_with_source_url,500
source,source_coverage_percentage,100.0
source,source_url_coverage_percentage,100.0
validation,validation_status_available,True
validation,validated_patterns,500
validation,pending_validation_patterns,0
validation,validation_coverage_percentage,100.0
